hanzi,pinyin,ko,en,category_zh,category_ko,category_en,tags
模型,mó xíng,모델,model,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
训练,xùn liàn,훈련,training,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
推理,tuī lǐ,추론,inference,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
微调,wēi tiáo,파인튜닝,fine-tuning,模型与架构,모델·아키텍처,Models & Architecture,mlops llm
预训练,yù xùn liàn,사전학습,pre-training,模型与架构,모델·아키텍처,Models & Architecture,mlops llm
蒸馏,zhēng liú,증류,distillation,模型与架构,모델·아키텍처,Models & Architecture,mlops llm
量化,liàng huà,양자화,quantization,模型与架构,모델·아키텍처,Models & Architecture,mlops opt
剪枝,jiǎn zhī,가지치기,pruning,模型与架构,모델·아키텍처,Models & Architecture,mlops opt
对齐,duì qí,정렬,alignment,模型与架构,모델·아키텍처,Models & Architecture,mlops llm
神经网络,shén jīng wǎng luò,신경망,neural network,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
深度学习,shēn dù xué xí,딥러닝,deep learning,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
机器学习,jī qì xué xí,머신러닝,machine learning,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
强化学习,qiáng huà xué xí,강화학습,reinforcement learning,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
监督学习,jiān dū xué xí,지도학습,supervised learning,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
无监督学习,wú jiān dū xué xí,비지도학습,unsupervised learning,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
自监督学习,zì jiān dū xué xí,자기지도학습,self-supervised learning,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
注意力机制,zhù yì lì jī zhì,어텐션 메커니즘,attention mechanism,模型与架构,모델·아키텍처,Models & Architecture,mlops llm
自注意力,zì zhù yì,셀프 어텐션,self-attention,模型与架构,모델·아키텍처,Models & Architecture,mlops llm
多头注意力,duō tóu zhù yì,멀티 헤드 어텐션,multi-head attention,模型与架构,모델·아키텍처,Models & Architecture,mlops llm
位置编码,wèi zhì biān mǎ,위치 인코딩,positional encoding,模型与架构,모델·아키텍처,Models & Architecture,mlops llm
嵌入,qiàn rù,임베딩,embedding,模型与架构,모델·아키텍처,Models & Architecture,mlops llm
词嵌入,cí qiàn rù,워드 임베딩,word embedding,模型与架构,모델·아키텍처,Models & Architecture,mlops llm
张量,zhāng liàng,텐서,tensor,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
矩阵,jǔ zhèn,행렬,matrix,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
向量,xiàng liàng,벡터,vector,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
标量,biāo liàng,스칼라,scalar,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
梯度,tī dù,기울기,gradient,模型与架构,모델·아키텍처,Models & Architecture,mlops basic
